Id,Name,Code,Simbol,Country,Flag,Charset
1,Fijian dollar,FJD,$,Fiji,fiji.png,
2,Mexican peso,MXN,$,Mexico,mexico.png,
4,Seychellois rupee,SCR,₨,Seychelles,seychelles.png,
5,Congolese franc,CDF,Fr,Congo,congo.png,
6,Barbadian dollar,BBD,$,Barbados,barbados.png,
7,Guatemalan quetzal,GTQ,Q,Guatemala,guatemala.png,
8,Chilean peso,CLP,$,Chile,chile.png,
9,Honduran lempira,HNL,L,Honduras,honduras.png,
10,Ugandan shilling,UGX,Sh,Uganda,uganda.png,
11,South African rand,ZAR,R,South Africa,south_africa.png,
12,Tunisian dinar,TND,د.ت,Tunisia,tunisia.png,
13,Cuban convertible peso,CUC,$,Cuba,cuba.png,
14,Bahamian dollar,BSD,$,Bahamas,the_bahamas.png,
15,Sierra Leonean leone,SLL,Le,Sierra Leone,sierra_leone.png,
16,Sudanese pound,SDG,£,Sudan,sudan.png,
18,Iraqi dinar,IQD,ع.د,Iraq,iraq.png,
19,Gambian dalasi,GMD,D,Gambia,gambia.png,
20,New Taiwan dollar,TWD,$,Taiwan,taiwan.png,
21,Serbian dinar,RSD,дин. or din.,Serbia,serbia.png,
22,Dominican peso,DOP,$,Dominican Republic,dominican_republic.png,
23,Comorian franc,KMF,Fr,Comoros,comoros.png,
24,Malaysian ringgit,MYR,RM,Malaysia,malaysia.png,
25,Falkland Islands pound,FKP,£,Falkland Islands,falkland_islands_(islas_malvinas).png,
26,West African CFA franc,XOF,Fr,Togo,togo.png,
27,Georgian lari,GEL,ლ,Georgia,georgia.png,
28,Uruguayan peso,UYU,$,Uruguay,uruguay.png,
29,Moroccan dirham,MAD,د.م.,Morocco,morocco.png,
30,Cape Verdean escudo,CVE,Esc or $,Cape Verde,cape_verde.png,
31,Tongan paʻanga,TOP,T$,Tonga,tonga.png,
32,Omani rial,OMR,ر.ع.,Oman,oman.png,
33,Papua New Guinean kina,PGK,K,Papua New Guinea,papua_new_guinea.png,
34,Kenyan shilling,KES,Sh,Kenya,kenya.png,
35,Swedish krona,SEK,kr,Sweden,sweden.png,
36,Bhutanese ngultrum,BTN,Nu.,Bhutan,bhutan.png,
37,Ukrainian hryvnia,UAH,₴,Ukraine,ukraine.png,
38,Guinean franc,GNF,Fr,Guinea,guinea.png,
39,Eritrean nakfa,ERN,Nfk,Eritrea,eritrea.png,
40,Mozambican metical,MZN,MT,Mozambique,mozambique.png,
41,Argentine peso,ARS,$,Argentina,argentina.png,
42,Qatari riyal,QAR,ر.ق,Qatar,qatar.png,
43,Iranian rial,IRR,﷼,Iran,iran.png,
44,Mauritanian ouguiya,MRO,UM,Mauritania,mauritania.png,
45,Chinese yuan,CNY,¥ or 元,China,china.png,
46,CFP franc,XPF,Fr,Wallis and Futuna,wallis_and_futuna.png,
47,Thai baht,THB,฿,Thailand,thailand.png,
48,Uzbekistani som,UZS,лв,Uzbekistan,uzbekistan.png,
49,Bangladeshi taka,BDT,৳,Bangladesh,bangladesh.png,
50,Libyan dinar,LYD,ل.د,Libya,libya.png,
51,Bermudian dollar,BMD,$,Bermuda,bermuda.png,
52,Kuwaiti dinar,KWD,د.ك,Kuwait,kuwait.png,
53,Philippine peso,PHP,₱,Philippines,philippines.png,
54,Russian ruble,RUB,р.,South Ossetia,russia.png,
55,Paraguayan guaraní,PYG,₲,Paraguay,paraguay.png,
56,Icelandic króna,ISK,kr,Iceland,iceland.png,
57,Jamaican dollar,JMD,$,Jamaica,jamaica.png,
58,Colombian peso,COP,$,Colombia,colombia.png,
59,United States dollar,USD,$,United States,united_states.png,
60,Macedonian denar,MKD,ден,Republic of Macedonia,macedonia.png,
61,Algerian dinar,DZD,د.ج,Sahrawi Republic,sahrawi_republic.png,
62,Panamanian balboa,PAB,B/.,Panama,panama.png,
63,Ethiopian birr,ETB,Br,Ethiopia,ethiopia.png,
64,Kyrgyzstani som,KGS,лв,Kyrgyzstan,kyrgyzstan.png,
65,Somali shilling,SOS,Sh,Somalia,somalia.png,
66,Vanuatu vatu,VUV,Vt,Vanuatu,vanuatu.png,
67,Venezuelan bolívar,VEF,Bs F,Venezuela,venezuela.png,
68,Lao kip,LAK,₭,Laos,laos.png,
69,Brunei dollar,BND,$,Singapore,singapore.png,
70,Central African CFA franc,XAF,Fr,Gabon,gabon.png,
71,Liberian dollar,LRD,$,Liberia,liberia.png,
72,Croatian kuna,HRK,kn,Croatia,croatia.png,
73,Swiss franc,CHF,Fr,Switzerland,switzerland.png,
74,Albanian lek,ALL,L,Albania,albania.png,
75,Djiboutian franc,DJF,Fr,Djibouti,djibouti.png,
76,Zambian kwacha,ZMW,ZK,Zambia,zambia.png,
77,Tanzanian shilling,TZS,Sh,Tanzania,tanzania.png,
78,Vietnamese đồng,VND,₫,Vietnam,vietnam.png,UTF-8
79,Australian dollar,AUD,$,Australia,australia.png,
80,Israeli new shekel,ILS,₪,Palestine,israel.png,
81,Ghana cedi,GHS,₵,Ghana,ghana.png,
82,Guyanese dollar,GYD,$,Guyana,guyana.png,
83,North Korean won,KPW,₩,North korea,north_korea.png,
84,Bolivian boliviano,BOB,Bs.,Bolivia,bolivia.png,
85,Cambodian riel,KHR,៛,Cambodia,cambodia.png,
86,Moldovan leu,MDL,L,Moldova,moldova.png,
87,Indonesian rupiah,IDR,Rp,Indonesia,indonesia.png,
88,Cayman Islands dollar,KYD,$,Cayman Islands,cayman_islands.png,
89,Botswana pula,BWP,P,Zimbabwe,zimbabwe.png,
90,Saint Helena pound,SHP,£,Tristan da Cunha,tristan_da_cunha.png,
91,Lebanese pound,LBP,ل.ل,Lebanon,lebanon.png,
92,Tajikistani somoni,TJS,ЅМ,Tajikistan,tajikistan.png,
93,Jordanian dinar,JOD,د.ا,Jordan,jordan.png,
94,Hong Kong dollar,HKD,$,Hong Kong,hong_kong.png,
95,Rwandan franc,RWF,Fr,Rwanda,rwanda.png,
96,United Arab Emirates dirham,AED,د.إ,United Arab Emirates,united_arab_emirates.png,
97,Euro,EUR,€,Vatican City,europe.png,
98,Lesotho loti,LSL,L,Lesotho,lesotho.png,
99,Danish krone,DKK,kr,Faroe Islands,faroe_islands.png,
100,Canadian dollar,CAD,$,Canada,canada.png,
101,Bulgarian lev,BGN,лв,Bulgaria,bulgaria.png,
102,Burmese kyat,MMK,Ks,Burma,burma.png,
103,Mauritian rupee,MUR,₨,Mauritius,mauritius.png,
104,Norwegian krone,NOK,kr,Norway,norway.png,
105,Syrian pound,SYP,£ or ل.س,Syria,syria.png,
106,Gibraltar pound,GIP,£,Gibraltar,gibraltar.png,
107,Romanian leu,RON,lei,Romania,romania.png,
108,Sri Lankan rupee,LKR,Rs or රු,Sri Lanka,sri_lanka.png,
109,Transnistrian ruble,PRB,р.,Transnistria,transnistria.png,
110,Nigerian naira,NGN,₦,Nigeria,nigeria.png,
111,Costa Rican colón,CRC,₡,Costa Rica,costa_rica.png,
112,Czech koruna,CZK,Kč,Czech Republic,czech_republic.png,
113,Pakistani rupee,PKR,₨,Pakistan,pakistan.png,
114,East Caribbean dollar,XCD,$,Saint Vincent and the Grenadines,saint_vincent_and_the_grenadines.png,
115,Netherlands Antillean guilder,ANG,ƒ,Sint Maarten,curacao.png,
116,Haitian gourde,HTG,G,Haiti,haiti.png,
117,Bahraini dinar,BHD,.د.ب,Bahrain,bahrain.png,
118,Surinamese dollar,SRD,$,Suriname,suriname.png,
119,Swazi lilangeni,SZL,L,Swaziland,swaziland.png,
120,Saudi riyal,SAR,ر.س,Saudi Arabia,saudi_arabia.png,
121,Trinidad and Tobago dollar,TTD,$,Trinidad and Tobago,trinidad_and_tobago.png,
122,Yemeni rial,YER,﷼,Yemen,yemen.png,
123,Maldivian rufiyaa,MVR,.ރ,Maldives,maldives.png,
124,Afghan afghani,AFN,؋,Afghanistan,afghanistan.png,
125,Aruban florin,AWG,ƒ,Aruba,aruba.png,
126,South Korean won,KRW,₩,South Korea,south_korea.png,
